"State","X30.01.20","X31.01.20","X01.02.20","X02.02.20","X03.02.20","X04.02.20","X05.02.20","X06.02.20","X07.02.20","X08.02.20","X09.02.20","X10.02.20","X11.02.20","X12.02.20","X13.02.20","X14.02.20","X15.02.20","X16.02.20","X17.02.20","X18.02.20","X19.02.20","X20.02.20","X21.02.20","X22.02.20","X23.02.20","X24.02.20","X25.02.20","X26.02.20","X27.02.20","X28.02.20","X29.02.20","X01.03.20","X02.03.20","X03.03.20","X04.03.20","X05.03.20","X06.03.20","X07.03.20","X08.03.20","X09.03.20","X10.03.20","X11.03.20","X12.03.20","X13.03.20","X14.03.20","X15.03.20","X16.03.20","X17.03.20","X18.03.20","X19.03.20","X20.03.20","X21.03.20","X22.03.20","X23.03.20","X24.03.20","X25.03.20","X26.03.20","X27.03.20","X28.03.20","X29.03.20","X30.03.20","X31.03.20","X01.04.20","X02.04.20","X03.04.20","X04.04.20","X05.04.20","X06.04.20","X07.04.20","X08.04.20","X09.04.20","X10.04.20","X11.04.20","X12.04.20","X13.04.20","X14.04.20","X15.04.20","X16.04.20","X17.04.20","X18.04.20","X19.04.20","X20.04.20","X21.04.20","X22.04.20","X23.04.20","X24.04.20","X25.04.20","X26.04.20","X27.04.20","X28.04.20","X29.04.20","X30.04.20","X01.05.20","X02.05.20","X03.05.20","X04.05.20","X05.05.20","X06.05.20","X07.05.20","X08.05.20","X09.05.20","X10.05.20","X11.05.20","X12.05.20","X13.05.20","X14.05.20","X16.05.20","X17.05.20","X18.05.20","X19.05.20","X20.05.20","X21.05.20","X22.05.20","X23.05.20","X24.05.20","X26.05.20","X27.05.20"
"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,14,14,16,16,17,22,27,27,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,5,7,8,9,11,12,14,19,23,40,83,86,132,161,190,226,266,305,348,363,381,381,432,473,503,534,572,603,603,722,757,813,895,955,1061,1097,1177,1259,1332,1332,1403,1463,1525,1583,1650,1717,1717,1777,1847,1887,1930,2018,2090,2137,2205,2355,2355,2474,2474,2602,2647,2647,2757,2823,3110
"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Assam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,24,26,26,26,27,28,29,29,29,31,31,33,33,35,35,35,35,35,35,36,36,36,36,36,38,38,38,42,42,43,43,43,43,43,45,54,59,63,65,65,80,87,92,92,107,107,170,203,203,329,378,526
"Bihar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,6,9,11,15,15,23,24,29,30,30,32,32,38,39,60,60,64,64,66,70,74,83,86,86,113,114,126,153,223,228,274,277,346,383,392,418,426,471,482,517,529,536,542,550,571,591,747,831,940,994,1179,1179,1391,1391,1674,1982,1982,2380,2587,2730
"Chandigarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,7,7,7,7,8,8,8,13,16,16,18,18,18,18,18,18,18,18,18,19,21,21,21,21,21,23,23,26,26,27,27,27,28,30,30,40,56,56,56,56,88,94,94,102,111,120,135,150,169,174,187,187,191,191,191,196,196,202,217,217,225,238,238
"Chhattisgarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,6,6,7,7,8,9,9,9,9,9,10,10,10,10,10,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,37,37,37,38,38,40,40,43,43,57,58,59,59,59,59,59,59,59,59,60,67,67,93,93,115,128,128,214,252,291
"Dadar Nagar Haveli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,5,6,6,7,7,7,8,10,12,17,26,29,29,30,31,36,36,39,49,87,97,152,219,219,445,503,523,576,576,669,898,903,1069,1154,1510,1561,1578,1707,1893,1893,2081,2081,2156,2376,2514,2514,2918,2918,3108,3314,3439,3515,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,7233,7639,7998,8470,9333,9333,10054,10054,11088,11659,11659,12910,13418,14053
"Goa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,17,17,38,38,50,52,52,55,66,67
"Gujarat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,18,29,33,38,43,43,45,58,69,73,82,87,95,105,122,144,165,165,179,241,308,432,539,617,695,871,1099,1376,1604,1939,2066,2272,2624,2815,2815,3301,3301,3548,3774,4082,4395,4395,4721,5055,5428,5804,6245,6625,7012,7402,7796,8541,8903,9267,9591,10988,10988,11745,11745,12537,12905,12905,13664,14056,14460
"Haryana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,14,14,14,14,14,14,15,17,17,17,17,21,26,28,28,30,30,33,33,36,40,43,43,49,49,59,84,90,147,169,169,177,185,185,199,199,205,225,225,233,254,254,254,272,272,272,289,289,296,310,310,313,313,360,394,442,517,548,594,625,647,675,730,780,793,818,887,887,928,928,993,1031,1031,1131,1184,1184
"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,6,6,6,13,13,18,18,28,28,32,32,32,33,35,36,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,41,42,45,46,50,50,59,65,66,74,78,78,90,90,110,152,152,185,203,223
"Jammu and Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,7,13,13,20,31,48,54,62,62,75,75,106,109,116,116,158,184,207,224,245,270,278,300,328,341,341,368,368,380,427,454,454,523,523,546,565,581,614,614,639,666,701,726,741,775,793,823,836,879,934,971,983,1121,1121,1289,1289,1390,1449,1449,1569,1621,1668
"Jharkhand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,13,13,17,17,19,24,27,28,33,34,35,46,46,45,53,57,59,82,82,103,105,107,109,111,111,115,115,115,125,127,132,132,156,160,172,173,197,217,217,223,223,231,290,290,350,370,377
"Karnataka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,6,6,6,6,11,11,14,15,15,26,33,37,41,55,55,55,76,83,83,101,110,124,128,144,151,175,175,181,197,214,226,247,258,277,315,359,384,384,408,415,425,445,474,489,503,511,520,532,535,565,576,598,606,642,659,671,693,705,753,794,862,925,959,987,1092,1092,1246,1246,1462,1605,1605,1959,2089,2182
"Kerala",1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,15,17,17,19,19,22,23,26,27,27,28,40,52,67,95,109,118,137,176,182,202,234,241,265,286,295,306,314,327,336,345,357,364,374,376,379,387,388,396,400,400,408,408,427,447,450,451,458,469,482,486,495,497,497,498,500,500,500,502,503,503,503,505,519,524,534,560,587,587,630,630,666,690,690,795,847,896
"Ladakh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,6,8,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,17,17,18,18,18,18,18,18,18,20,20,20,20,22,22,22,22,22,22,40,41,41,41,41,42,42,42,42,42,43,43,43,43,43,43,44,44,44,49,52,52
"Madhya Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,14,20,20,30,30,47,47,66,99,104,104,165,165,229,229,259,259,443,564,604,730,987,1120,1310,1407,1407,1485,1540,1592,1699,1852,1952,2096,2168,2368,2561,2561,2660,2719,2719,2846,2942,3049,3049,3138,3252,3341,3614,3785,3986,4173,4426,4789,4789,5236,5236,5735,5981,5981,6371,6665,6859
"Maharashtra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,11,14,14,32,32,39,42,47,52,63,67,74,89,128,124,130,180,186,198,216,302,335,335,490,490,748,868,1018,1135,1364,1574,1761,1985,2337,2687,2919,3323,3651,3651,4666,4669,5221,6430,6817,6817,8068,8068,8590,9318,9915,10498,10498,11506,12296,12974,14541,15525,16758,17974,19063,20228,23401,24427,25922,27524,30706,30706,35058,35058,39297,41642,41642,47190,50231,52667
"Manipur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,7,7,25,25,25,29,32,39
"Meghalaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14
"Mizoram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Nagaland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Odisha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,20,21,42,42,42,44,48,54,54,55,60,60,60,61,61,74,74,82,90,94,94,103,108,118,119,125,142,143,154,160,163,170,175,185,219,271,294,414,437,538,611,737,737,876,876,1052,1103,1103,1269,1336,1438
"Puducherry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,12,13,13,13,13,13,18,18,18,20,20,26,41,41
"Punjab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,13,21,21,29,29,33,33,38,38,38,41,42,46,48,57,57,76,91,91,101,132,132,151,167,176,186,186,202,202,219,245,245,251,277,298,298,313,313,313,322,357,357,357,772,772,1102,1233,1451,1516,1644,1731,1762,1877,1914,1924,1935,1946,1946,1980,1980,2005,2028,2028,2045,2060,2060
"Rajasthan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,15,15,15,15,15,3,3,3,3,4,4,4,4,7,17,17,24,28,32,36,41,41,54,55,59,74,93,108,167,200,200,274,288,328,383,463,553,700,812,879,1005,1023,1229,1351,1351,1576,1576,1801,1964,2034,2034,2185,2185,2262,2364,2438,2584,2584,2666,2772,2886,3061,3158,3317,3427,3579,3708,3988,4126,4328,4534,4960,4960,5507,5507,6015,6227,6227,6742,7028,7300
"Sikkim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Tamil Nadu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,7,9,15,18,26,29,40,49,67,74,234,234,309,411,485,571,621,690,738,834,911,969,1075,1173,1204,1242,1323,1372,1372,1520,1520,1596,1683,1755,1755,1885,1885,1937,2058,2162,2323,2323,2526,2757,3023,3550,4058,4829,5409,6009,6535,8002,8718,9227,9674,10585,10585,11760,11760,13191,13967,13967,15512,16277,17082
"Telengana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,6,6,17,21,22,32,35,35,44,45,56,66,71,79,96,107,158,159,269,321,364,427,442,473,504,504,562,624,647,698,766,809,844,873,919,945,960,984,984,1002,1002,1004,1012,1012,1038,1039,1057,1063,1082,1085,1096,1107,1123,1133,1163,1275,1326,1367,1414,1509,1509,1597,1597,1661,1699,1699,1813,1854,1920
"Tripura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,16,29,43,43,65,118,134,152,154,155,156,167,167,167,167,173,173,173,189,191,194
"Unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,290,814,814,1403,1620,1620,2338,2642,2970
"Uttar Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,7,9,11,11,12,13,13,15,16,19,23,24,27,31,33,37,41,41,55,65,82,101,103,113,172,174,227,305,305,343,410,431,433,452,483,657,735,773,849,969,1084,1184,1294,1412,1510,1621,1778,1868,1955,2043,2115,2134,2203,2281,2455,2626,2742,2859,2880,2998,3071,3214,3373,3573,3664,3729,3902,4258,4258,4605,4605,5175,5515,5515,6017,6268,6532
"Uttarakhand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,4,4,5,5,5,7,7,7,7,7,10,16,22,26,31,31,35,35,35,35,35,35,37,37,40,42,42,46,46,46,47,48,48,50,51,51,54,55,57,57,58,59,60,60,61,61,61,63,67,68,69,72,78,88,88,93,93,122,146,146,244,317,349
"West Bengal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,7,9,9,10,10,15,18,22,26,37,53,63,69,80,80,91,99,103,116,126,134,152,190,213,231,287,310,310,392,392,423,514,571,571,649,649,697,725,758,795,795,795,922,963,1259,1344,1456,1548,1678,1786,2063,2173,2290,2377,2576,2576,2825,2825,3103,3197,3197,3459,3667,3816
