"State.UnionTerritory","Date","Day","ConfirmedIndianNational","ConfirmedForeignNational","Total Confirmed","Cured","Deaths"
"Kerala","30/01/20",1,1,0,1,0,0
"Kerala","31/01/20",2,1,0,1,0,0
"Kerala","01/02/20",3,2,0,2,0,0
"Kerala","02/02/20",4,3,0,3,0,0
"Kerala","03/02/20",5,3,0,3,0,0
"Kerala","04/02/20",6,3,0,3,0,0
"Kerala","05/02/20",7,3,0,3,0,0
"Kerala","06/02/20",8,3,0,3,0,0
"Kerala","07/02/20",9,3,0,3,0,0
"Kerala","08/02/20",10,3,0,3,0,0
"Kerala","09/02/20",11,3,0,3,0,0
"Kerala","10/02/20",12,3,0,3,0,0
"Kerala","11/02/20",13,3,0,3,0,0
"Kerala","12/02/20",14,3,0,3,0,0
"Kerala","13/02/20",15,3,0,3,0,0
"Kerala","14/02/20",16,3,0,3,0,0
"Kerala","15/02/20",17,3,0,3,0,0
"Kerala","16/02/20",18,3,0,3,0,0
"Kerala","17/02/20",19,3,0,3,0,0
"Kerala","18/02/20",20,3,0,3,0,0
"Kerala","19/02/20",21,3,0,3,0,0
"Kerala","20/02/20",22,3,0,3,0,0
"Kerala","21/02/20",23,3,0,3,0,0
"Kerala","22/02/20",24,3,0,3,0,0
"Kerala","23/02/20",25,3,0,3,0,0
"Kerala","24/02/20",26,3,0,3,0,0
"Kerala","25/02/20",27,3,0,3,0,0
"Kerala","26/02/20",28,3,0,3,0,0
"Kerala","27/02/20",29,3,0,3,0,0
"Kerala","28/02/20",30,3,0,3,0,0
"Kerala","29/02/20",31,3,0,3,0,0
"Kerala","01/03/20",32,3,0,3,0,0
"Telengana","02/03/20",33,1,0,1,0,0
"Kerala","02/03/20",33,3,0,3,0,0
"Delhi","02/03/20",33,1,0,1,0,0
"Telengana","03/03/20",34,1,0,1,0,0
"Rajasthan","03/03/20",34,0,1,1,0,0
"Kerala","03/03/20",34,3,0,3,3,0
"Delhi","03/03/20",34,1,0,1,0,0
"Uttar Pradesh","04/03/20",35,6,0,6,0,0
"Kerala","04/03/20",35,3,0,3,3,0
"Haryana","04/03/20",35,0,2,2,0,0
"Delhi","04/03/20",35,1,0,1,0,0
"Telengana","04/03/20",35,1,0,1,0,0
"Rajasthan","04/03/20",35,1,14,15,0,0
"Delhi","05/03/20",36,2,0,2,0,0
"Haryana","05/03/20",36,0,2,2,0,0
"Kerala","05/03/20",36,3,0,3,3,0
"Rajasthan","05/03/20",36,1,14,15,0,0
"Telengana","05/03/20",36,1,0,1,0,0
"Uttar Pradesh","05/03/20",36,7,0,7,0,0
"Delhi","06/03/20",37,3,0,3,0,0
"Haryana","06/03/20",37,0,2,2,0,0
"Kerala","06/03/20",37,3,0,3,3,0
"Rajasthan","06/03/20",37,1,14,15,0,0
"Uttar Pradesh","06/03/20",37,7,0,7,0,0
"Telengana","06/03/20",37,1,0,1,0,0
"Kerala","07/03/20",38,3,0,3,3,0
"Uttar Pradesh","07/03/20",38,7,0,7,0,0
"Ladakh","07/03/20",38,2,0,2,0,0
"Telengana","07/03/20",38,1,0,1,0,0
"Tamil Nadu","07/03/20",38,1,0,1,0,0
"Delhi","07/03/20",38,3,0,3,0,0
"Haryana","07/03/20",38,0,2,2,0,0
"Rajasthan","07/03/20",38,1,14,15,0,0
"Ladakh","08/03/20",39,2,0,2,0,0
"Telengana","08/03/20",39,1,0,1,0,0
"Tamil Nadu","08/03/20",39,1,0,1,0,0
"Rajasthan","08/03/20",39,1,14,15,0,0
"Kerala","08/03/20",39,8,0,8,3,0
"Haryana","08/03/20",39,0,2,2,0,0
"Delhi","08/03/20",39,3,0,3,0,0
"Uttar Pradesh","08/03/20",39,7,0,7,0,0
"Ladakh","09/03/20",40,2,0,2,0,0
"Karnataka","09/03/20",40,1,0,1,0,0
"Kerala","09/03/20",40,9,0,9,3,0
"Maharashtra","09/03/20",40,2,0,2,0,0
"Punjab","09/03/20",40,1,0,1,0,0
"Rajasthan","09/03/20",40,1,14,15,0,0
"Tamil Nadu","09/03/20",40,1,0,1,0,0
"Telengana","09/03/20",40,1,0,1,0,0
"Jammu and Kashmir","09/03/20",40,1,0,1,0,0
"Uttar Pradesh","09/03/20",40,7,0,7,0,0
"Haryana","09/03/20",40,0,2,2,0,0
"Delhi","09/03/20",40,4,0,4,0,0
"Uttar Pradesh","10/03/20",41,7,0,7,0,0
"Ladakh","10/03/20",41,2,0,2,0,0
"Delhi","10/03/20",41,4,0,4,0,0
"Haryana","10/03/20",41,0,2,2,0,0
"Karnataka","10/03/20",41,4,0,4,0,0
"Kerala","10/03/20",41,15,0,15,3,0
"Maharashtra","10/03/20",41,5,0,5,0,0
"Punjab","10/03/20",41,1,0,1,0,0
"Rajasthan","10/03/20",41,1,14,15,0,0
"Tamil Nadu","10/03/20",41,1,0,1,0,0
"Telengana","10/03/20",41,1,0,1,0,0
"Jammu and Kashmir","10/03/20",41,1,0,1,0,0
"Maharashtra","11/03/20",42,2,0,2,0,0
"Delhi","11/03/20",42,5,0,5,0,0
"Haryana","11/03/20",42,0,14,14,0,0
"Kerala","11/03/20",42,17,0,17,3,0
"Rajasthan","11/03/20",42,1,2,3,0,0
"Telengana","11/03/20",42,1,0,1,0,0
"Uttar Pradesh","11/03/20",42,9,0,9,0,0
"Ladakh","11/03/20",42,2,0,2,0,0
"Tamil Nadu","11/03/20",42,1,0,1,0,0
"Jammu and Kashmir","11/03/20",42,1,0,1,0,0
"Punjab","11/03/20",42,1,0,1,0,0
"Karnataka","11/03/20",42,4,0,4,0,0
"Delhi","12/03/20",43,6,0,6,0,0
"Haryana","12/03/20",43,0,14,14,0,0
"Kerala","12/03/20",43,17,0,17,3,0
"Rajasthan","12/03/20",43,1,2,3,0,0
"Telengana","12/03/20",43,1,0,1,0,0
"Uttar Pradesh","12/03/20",43,10,1,11,0,0
"Ladakh","12/03/20",43,3,0,3,0,0
"Tamil Nadu","12/03/20",43,1,0,1,0,0
"Jammu and Kashmir","12/03/20",43,1,0,1,0,0
"Punjab","12/03/20",43,1,0,1,0,0
"Karnataka","12/03/20",43,4,0,4,0,0
"Maharashtra","12/03/20",43,11,0,11,0,0
"Andhra Pradesh","12/03/20",43,1,0,1,0,0
"Delhi","13/03/20",44,6,0,6,0,0
"Haryana","13/03/20",44,0,14,14,0,0
"Kerala","13/03/20",44,19,0,19,3,0
"Rajasthan","13/03/20",44,1,2,3,0,0
"Telengana","13/03/20",44,1,0,1,0,0
"Uttar Pradesh","13/03/20",44,10,1,11,0,0
"Ladakh","13/03/20",44,3,0,3,0,0
"Tamil Nadu","13/03/20",44,1,0,1,0,0
"Jammu and Kashmir","13/03/20",44,1,0,1,0,0
"Punjab","13/03/20",44,1,0,1,0,0
"Karnataka","13/03/20",44,6,0,6,0,1
"Maharashtra","13/03/20",44,14,0,14,0,0
"Andhra Pradesh","13/03/20",44,1,0,1,0,0
"Delhi","14/03/20",45,7,0,7,1,1
"Haryana","14/03/20",45,0,14,14,0,0
"Kerala","14/03/20",45,19,0,19,3,0
"Rajasthan","14/03/20",45,1,2,3,1,0
"Telengana","14/03/20",45,1,0,1,0,0
"Uttar Pradesh","14/03/20",45,11,1,12,5,0
"Ladakh","14/03/20",45,3,0,3,0,0
"Tamil Nadu","14/03/20",45,1,0,1,0,0
"Jammu and Kashmir","14/03/20",45,2,0,2,0,0
"Punjab","14/03/20",45,1,0,1,0,0
"Karnataka","14/03/20",45,6,0,6,0,1
"Maharashtra","14/03/20",45,14,0,14,0,0
"Andhra Pradesh","14/03/20",45,1,0,1,0,0
"Andhra Pradesh","15/03/20",46,1,0,1,0,0
"Delhi","15/03/20",46,7,0,7,2,1
"Haryana","15/03/20",46,0,14,14,0,0
"Karnataka","15/03/20",46,6,0,6,0,1
"Kerala","15/03/20",46,22,0,22,3,0
"Maharashtra","15/03/20",46,32,0,32,0,0
"Punjab","15/03/20",46,1,0,1,0,0
"Rajasthan","15/03/20",46,2,2,4,3,0
"Tamil Nadu","15/03/20",46,1,0,1,0,0
"Telengana","15/03/20",46,3,0,3,1,0
"Jammu and Kashmir","15/03/20",46,2,0,2,0,0
"Ladakh","15/03/20",46,3,0,3,0,0
"Uttar Pradesh","15/03/20",46,12,1,13,4,0
"Uttarakhand","15/03/20",46,1,0,1,0,0
"Andhra Pradesh","16/03/20",47,1,0,1,0,0
"Delhi","16/03/20",47,7,0,7,2,1
"Haryana","16/03/20",47,0,14,14,0,0
"Karnataka","16/03/20",47,6,0,6,0,1
"Kerala","16/03/20",47,23,0,23,3,0
"Maharashtra","16/03/20",47,32,0,32,0,0
"Odisha","16/03/20",47,1,0,1,0,0
"Punjab","16/03/20",47,1,0,1,0,0
"Rajasthan","16/03/20",47,2,2,4,3,0
"Tamil Nadu","16/03/20",47,1,0,1,0,0
"Telengana","16/03/20",47,3,0,3,1,0
"Jammu and Kashmir","16/03/20",47,3,0,3,0,0
"Ladakh","16/03/20",47,4,0,4,0,0
"Uttar Pradesh","16/03/20",47,12,1,13,4,0
"Uttarakhand","16/03/20",47,1,0,1,0,0
"Andhra Pradesh","17/03/20",48,1,0,1,0,0
"Delhi","17/03/20",48,8,0,8,2,1
"Haryana","17/03/20",48,1,14,15,0,0
"Karnataka","17/03/20",48,11,0,11,0,1
"Kerala","17/03/20",48,24,2,26,3,0
"Maharashtra","17/03/20",48,36,3,39,0,1
"Odisha","17/03/20",48,1,0,1,0,0
"Punjab","17/03/20",48,1,0,1,0,0
"Rajasthan","17/03/20",48,2,2,4,3,0
"Tamil Nadu","17/03/20",48,1,0,1,0,0
"Telengana","17/03/20",48,3,2,5,1,0
"Jammu and Kashmir","17/03/20",48,3,0,3,0,0
"Ladakh","17/03/20",48,6,0,6,0,0
"Uttar Pradesh","17/03/20",48,14,1,15,5,0
"Uttarakhand","17/03/20",48,1,0,1,0,0
"Andhra Pradesh","18/03/20",49,1,0,1,0,0
"Delhi","18/03/20",49,9,1,10,2,1
"Haryana","18/03/20",49,3,14,17,0,0
"Karnataka","18/03/20",49,11,0,11,0,1
"Kerala","18/03/20",49,25,2,27,3,0
"Maharashtra","18/03/20",49,39,3,42,0,1
"Odisha","18/03/20",49,1,0,1,0,0
"Puducherry","18/03/20",49,1,0,1,0,0
"Punjab","18/03/20",49,1,0,1,0,0
"Rajasthan","18/03/20",49,2,2,4,3,0
"Tamil Nadu","18/03/20",49,1,0,1,0,0
"Telengana","18/03/20",49,4,2,6,1,0
"Jammu and Kashmir","18/03/20",49,3,0,3,0,0
"Ladakh","18/03/20",49,8,0,8,0,0
"Uttar Pradesh","18/03/20",49,15,1,16,5,0
"Uttarakhand","18/03/20",49,1,0,1,0,0
"West Bengal","18/03/20",49,1,0,1,0,0
"Andhra Pradesh","19/03/20",50,2,0,2,0,0
"Chhattisgarh","19/03/20",50,1,0,1,0,0
"Delhi","19/03/20",50,11,1,12,3,1
"Haryana","19/03/20",50,3,14,17,0,0
"Karnataka","19/03/20",50,14,0,14,0,1
"Kerala","19/03/20",50,25,2,27,3,0
"Maharashtra","19/03/20",50,44,3,47,0,1
"Odisha","19/03/20",50,1,0,1,0,0
"Puducherry","19/03/20",50,1,0,1,0,0
"Punjab","19/03/20",50,2,0,2,0,1
"Rajasthan","19/03/20",50,5,2,7,3,0
"Tamil Nadu","19/03/20",50,2,0,2,1,0
"Telengana","19/03/20",50,4,2,6,1,0
"Chandigarh","19/03/20",50,1,0,1,0,0
"Jammu and Kashmir","19/03/20",50,4,0,4,0,0
"Ladakh","19/03/20",50,8,0,8,0,0
"Uttar Pradesh","19/03/20",50,18,1,19,9,0
"Uttarakhand","19/03/20",50,1,0,1,0,0
"West Bengal","19/03/20",50,1,0,1,0,0
"Andhra Pradesh","20/03/20",51,3,0,3,0,0
"Chhattisgarh","20/03/20",51,1,0,1,0,0
"Delhi","20/03/20",51,16,1,17,5,1
"Gujarat","20/03/20",51,5,0,5,0,0
"Haryana","20/03/20",51,3,14,17,0,0
"Karnataka","20/03/20",51,15,0,15,1,1
"Kerala","20/03/20",51,26,2,28,3,0
"Maharashtra","20/03/20",51,49,3,52,0,1
"Odisha","20/03/20",51,2,0,2,0,0
"Puducherry","20/03/20",51,1,0,1,0,0
"Punjab","20/03/20",51,2,0,2,0,1
"Rajasthan","20/03/20",51,15,2,17,3,0
"Tamil Nadu","20/03/20",51,3,0,3,1,0
"Telengana","20/03/20",51,8,9,17,1,0
"Chandigarh","20/03/20",51,1,0,1,0,0
"Jammu and Kashmir","20/03/20",51,4,0,4,0,0
"Ladakh","20/03/20",51,10,0,10,0,0
"Uttar Pradesh","20/03/20",51,22,1,23,9,0
"Uttarakhand","20/03/20",51,3,0,3,0,0
"West Bengal","20/03/20",51,2,0,2,0,0
"Andhra Pradesh","21/03/20",52,3,0,3,0,0
"Chhattisgarh","21/03/20",52,1,0,1,0,0
"Delhi","21/03/20",52,25,1,26,5,1
"Gujarat","21/03/20",52,7,0,7,0,0
"Haryana","21/03/20",52,3,14,17,0,0
"Himachal Pradesh","21/03/20",52,2,0,2,0,0
"Karnataka","21/03/20",52,15,0,15,1,1
"Kerala","21/03/20",52,33,7,40,3,0
"Madhya Pradesh","21/03/20",52,4,0,4,0,0
"Maharashtra","21/03/20",52,60,3,63,0,1
"Odisha","21/03/20",52,2,0,2,0,0
"Puducherry","21/03/20",52,1,0,1,0,0
"Punjab","21/03/20",52,13,0,13,0,1
"Rajasthan","21/03/20",52,15,2,17,3,0
"Tamil Nadu","21/03/20",52,3,0,3,1,0
"Telengana","21/03/20",52,10,11,21,1,0
"Chandigarh","21/03/20",52,1,0,1,0,0
"Jammu and Kashmir","21/03/20",52,4,0,4,0,0
"Ladakh","21/03/20",52,13,0,13,0,0
"Uttar Pradesh","21/03/20",52,23,1,24,9,0
"Uttarakhand","21/03/20",52,3,0,3,0,0
"West Bengal","21/03/20",52,3,0,3,0,0
"Andhra Pradesh","22/03/20",53,5,0,5,0,0
"Bihar","22/03/20",53,2,0,2,0,1
"Chhattisgarh","22/03/20",53,1,0,1,0,0
"Delhi","22/03/20",53,28,1,29,5,1
"Gujarat","22/03/20",53,18,0,18,0,1
"Haryana","22/03/20",53,7,14,21,0,0
"Himachal Pradesh","22/03/20",53,2,0,2,0,0
"Karnataka","22/03/20",53,26,0,26,2,1
"Kerala","22/03/20",53,45,7,52,3,0
"Madhya Pradesh","22/03/20",53,4,0,4,0,0
"Maharashtra","22/03/20",53,64,3,67,0,2
"Odisha","22/03/20",53,2,0,2,0,0
"Puducherry","22/03/20",53,1,0,1,0,0
"Punjab","22/03/20",53,21,0,21,0,1
"Rajasthan","22/03/20",53,22,2,24,3,0
"Tamil Nadu","22/03/20",53,5,2,7,1,0
"Telengana","22/03/20",53,11,11,22,1,0
"Chandigarh","22/03/20",53,5,0,5,0,0
"Jammu and Kashmir","22/03/20",53,4,0,4,0,0
"Ladakh","22/03/20",53,13,0,13,0,0
"Uttar Pradesh","22/03/20",53,26,1,27,9,0
"Uttarakhand","22/03/20",53,3,0,3,0,0
"West Bengal","22/03/20",53,4,0,4,0,0
"Andhra Pradesh","23/03/20",54,7,0,7,0,0
"Bihar","23/03/20",54,2,0,2,0,1
"Chhattisgarh","23/03/20",54,1,0,1,0,0
"Delhi","23/03/20",54,28,1,29,5,1
"Gujarat","23/03/20",54,29,0,29,0,1
"Haryana","23/03/20",54,12,14,26,0,0
"Himachal Pradesh","23/03/20",54,2,0,2,0,0
"Karnataka","23/03/20",54,33,0,33,2,1
"Kerala","23/03/20",54,60,7,67,3,0
"Madhya Pradesh","23/03/20",54,6,0,6,0,0
"Maharashtra","23/03/20",54,71,3,74,0,2
"Odisha","23/03/20",54,2,0,2,0,0
"Puducherry","23/03/20",54,1,0,1,0,0
"Punjab","23/03/20",54,21,0,21,0,1
"Rajasthan","23/03/20",54,26,2,28,3,0
"Tamil Nadu","23/03/20",54,7,2,9,1,0
"Telengana","23/03/20",54,22,10,32,1,0
"Chandigarh","23/03/20",54,6,0,6,0,0
"Jammu and Kashmir","23/03/20",54,4,0,4,0,0
"Ladakh","23/03/20",54,13,0,13,0,0
"Uttar Pradesh","23/03/20",54,30,1,31,9,0
"Uttarakhand","23/03/20",54,3,0,3,0,0
"West Bengal","23/03/20",54,7,0,7,0,0
"Andhra Pradesh","24/03/20",55,8,0,8,0,0
"Bihar","24/03/20",55,3,0,3,0,1
"Chhattisgarh","24/03/20",55,1,0,1,0,0
"Delhi","24/03/20",55,29,1,30,6,1
"Gujarat","24/03/20",55,32,1,33,0,1
"Haryana","24/03/20",55,14,14,28,11,0
"Himachal Pradesh","24/03/20",55,3,0,3,0,1
"Karnataka","24/03/20",55,37,0,37,3,1
"Kerala","24/03/20",55,87,8,95,4,0
"Madhya Pradesh","24/03/20",55,7,0,7,0,0
"Maharashtra","24/03/20",55,86,3,89,0,2
"Manipur","24/03/20",55,1,0,1,0,0
"Odisha","24/03/20",55,2,0,2,0,0
"Puducherry","24/03/20",55,1,0,1,0,0
"Punjab","24/03/20",55,29,0,29,0,1
"Rajasthan","24/03/20",55,30,2,32,3,0
"Tamil Nadu","24/03/20",55,13,2,15,1,0
"Telengana","24/03/20",55,25,10,35,1,0
"Chandigarh","24/03/20",55,7,0,7,0,0
"Jammu and Kashmir","24/03/20",55,4,0,4,0,0
"Ladakh","24/03/20",55,13,0,13,0,0
"Uttar Pradesh","24/03/20",55,32,1,33,11,0
"Uttarakhand","24/03/20",55,3,1,4,0,0
"West Bengal","24/03/20",55,9,0,9,0,1
"Andhra Pradesh","25/03/20",56,9,0,9,1,0
"Bihar","25/03/20",56,4,0,4,0,1
"Chhattisgarh","25/03/20",56,1,0,1,0,0
"Delhi","25/03/20",56,30,1,31,6,1
"Gujarat","25/03/20",56,37,1,38,0,1
"Haryana","25/03/20",56,14,14,28,11,0
"Himachal Pradesh","25/03/20",56,3,0,3,0,1
"Karnataka","25/03/20",56,41,0,41,3,1
"Kerala","25/03/20",56,101,8,109,4,0
"Madhya Pradesh","25/03/20",56,14,0,14,0,0
"Maharashtra","25/03/20",56,125,3,128,1,3
"Manipur","25/03/20",56,1,0,1,0,0
"Mizoram","25/03/20",56,1,0,1,0,0
"Odisha","25/03/20",56,2,0,2,0,0
"Puducherry","25/03/20",56,1,0,1,0,0
"Punjab","25/03/20",56,29,0,29,0,1
"Rajasthan","25/03/20",56,34,2,36,3,0
"Tamil Nadu","25/03/20",56,16,2,18,1,0
"Telengana","25/03/20",56,25,10,35,1,0
"Chandigarh","25/03/20",56,7,0,7,0,0
"Jammu and Kashmir","25/03/20",56,7,0,7,1,0
"Ladakh","25/03/20",56,13,0,13,0,0
"Uttar Pradesh","25/03/20",56,36,1,37,11,0
"Uttarakhand","25/03/20",56,3,1,4,0,0
"West Bengal","25/03/20",56,9,0,9,0,1
"Andaman and Nicobar Islands","26/03/20",57,1,0,1,0,0
"Andhra Pradesh","26/03/20",57,11,0,11,1,0
"Bihar","26/03/20",57,6,0,6,0,1
"Chandigarh","26/03/20",57,7,0,7,0,0
"Chhattisgarh","26/03/20",57,6,0,6,0,0
"Delhi","26/03/20",57,35,1,36,6,1
"Goa","26/03/20",57,3,0,3,0,0
"Gujarat","26/03/20",57,42,1,43,0,3
"Haryana","26/03/20",57,16,14,30,11,0
"Himachal Pradesh","26/03/20",57,3,0,3,0,1
"Jammu and Kashmir","26/03/20",57,13,0,13,1,0
"Karnataka","26/03/20",57,55,0,55,3,2
"Kerala","26/03/20",57,110,8,118,6,0
"Ladakh","26/03/20",57,13,0,13,0,0
"Madhya Pradesh","26/03/20",57,20,0,20,0,1
"Maharashtra","26/03/20",57,121,3,124,1,3
"Manipur","26/03/20",57,1,0,1,0,0
"Mizoram","26/03/20",57,1,0,1,0,0
"Odisha","26/03/20",57,2,0,2,0,0
"Puducherry","26/03/20",57,1,0,1,0,0
"Punjab","26/03/20",57,33,0,33,0,1
"Rajasthan","26/03/20",57,39,2,41,3,0
"Tamil Nadu","26/03/20",57,20,6,26,1,1
"Telengana","26/03/20",57,34,10,44,1,0
"Uttarakhand","26/03/20",57,4,1,5,0,0
"Uttar Pradesh","26/03/20",57,40,1,41,11,0
"West Bengal","26/03/20",57,10,0,10,0,1
"Andaman and Nicobar Islands","27/03/20",58,1,0,1,0,0
"Andhra Pradesh","27/03/20",58,12,0,12,1,0
"Bihar","27/03/20",58,6,0,6,0,1
"Chandigarh","27/03/20",58,7,0,7,0,0
"Chhattisgarh","27/03/20",58,6,0,6,0,0
"Delhi","27/03/20",58,35,1,36,6,1
"Goa","27/03/20",58,3,0,3,0,0
"Gujarat","27/03/20",58,42,1,43,0,3
"Haryana","27/03/20",58,16,14,30,11,0
"Himachal Pradesh","27/03/20",58,3,0,3,0,1
"Jammu and Kashmir","27/03/20",58,13,0,13,1,1
"Karnataka","27/03/20",58,55,0,55,3,2
"Kerala","27/03/20",58,129,8,137,11,0
"Ladakh","27/03/20",58,13,0,13,3,0
"Madhya Pradesh","27/03/20",58,20,0,20,0,1
"Maharashtra","27/03/20",58,127,3,130,15,4
"Manipur","27/03/20",58,1,0,1,0,0
"Mizoram","27/03/20",58,1,0,1,0,0
"Odisha","27/03/20",58,2,0,2,0,0
"Puducherry","27/03/20",58,1,0,1,0,0
"Punjab","27/03/20",58,33,0,33,0,1
"Rajasthan","27/03/20",58,39,2,41,3,0
"Tamil Nadu","27/03/20",58,23,6,29,1,1
"Telengana","27/03/20",58,35,10,45,1,0
"Uttarakhand","27/03/20",58,4,1,5,0,0
"Uttar Pradesh","27/03/20",58,40,1,41,11,0
"West Bengal","27/03/20",58,10,0,10,0,1
